40001 ,2024 ,57.7 ,33.5 ,24.9
40002 ,1425 ,43 ,24.6 ,17.9
40003 ,2354 ,78.2 ,48.2 ,29.8
40006 ,2035 ,56 ,53.2 ,2.8
40008 ,1900 ,79.1 ,27.2 ,52.3
40009 ,1359 ,48 ,42.5 ,5.3
40010 ,2386 ,76 ,28.7 ,46.7
40011 ,1795 ,60 ,31.4 ,28.4
40012 ,2879 ,81.8 ,29 ,52.9
40013 ,1749 ,36.6 ,26.5 ,9.9
40014 ,2086 ,85.4 ,25.5 ,59.8
40015 ,2111 ,78.3 ,29.2 ,48.9
40016 ,2138 ,67 ,39.3 ,27.1
40017 ,2838 ,77.7 ,45.4 ,31.9
40018 ,2638 ,61.9 ,52.3 ,9.3
40019 ,2280 ,63.2 ,61.5 ,1.3
40020 ,2100 ,69.8 ,26.8 ,43.1
40021 ,2430 ,78.4 ,35.9 ,42.4
40022 ,1871 ,68.6 ,37.7 ,30.5
40023 ,1721 ,61.3 ,27.7 ,33
40024 ,1155 ,46.6 ,15.8 ,30.6
40025 ,1938 ,70.1 ,28 ,41.9
40026 ,2399 ,59.4 ,42.9 ,16.5
40027 ,2049 ,66.5 ,47.9 ,18.6
40028 ,1624 ,60.1 ,12.2 ,47.5
40029 ,2199 ,60.7 ,38.1 ,22.6
40030 ,1376 ,41.4 ,20.5 ,20.7
40031 ,1924 ,62.1 ,40.4 ,21.5
40032 ,3171 ,103.2 ,65 ,38
40033 ,2769 ,76.5 ,50.6 ,25.9
40034 ,1881 ,67.2 ,44.9 ,22.3
40035 ,1542 ,56 ,28.9 ,26.7
40036 ,2640 ,72.3 ,34.8 ,37.2
40037 ,984 ,42.1 ,12.3 ,29.7
40038 ,1567 ,47.4 ,46.1 ,2.2
40039 ,2413 ,73.5 ,52.2 ,20.8
40040 ,2228 ,76.8 ,31.7 ,44.6
40041 ,1794 ,66.7 ,40.9 ,25.7
40042 ,2815 ,75.3 ,59.2 ,15.6
40043 ,1770 ,65.7 ,34.4 ,31
40044 ,1889 ,65.6 ,26.2 ,39.4
40046 ,1363 ,56.9 ,19.9 ,36.5
40047 ,1804 ,60.2 ,42.8 ,17.3
40048 ,2001 ,67.1 ,30.1 ,36.9
40050 ,1950 ,83.4 ,24.7 ,57.7
40051 ,2585 ,83.4 ,46.4 ,36.7
40052 ,2032 ,107.7 ,19.9 ,87.3
40053 ,1297 ,40.2 ,22.2 ,18
40054 ,1468 ,51.3 ,20.8 ,29.7
40056 ,1971 ,60.6 ,30.9 ,29.9
40057 ,1519 ,51.1 ,41.4 ,11.3
40058 ,2019 ,67.7 ,24.6 ,42.5
40060 ,1275 ,43.1 ,32 ,13
40061 ,1676 ,49.7 ,32.7 ,16.7
40062 ,2525 ,69.1 ,33.3 ,35.4
40065 ,2139 ,79.4 ,18.4 ,60.9
40066 ,2037 ,56.9 ,36.2 ,20.5
40067 ,1353 ,41.2 ,33.1 ,8
40068 ,1354 ,46.1 ,24.1 ,22.5
40069 ,2637 ,98.1 ,33.7 ,63.4
40071 ,902 ,34.4 ,15.3 ,18.8
40072 ,1609 ,65.1 ,26.1 ,38.9
40073 ,2385 ,60.3 ,46.6 ,13.8
40074 ,2872 ,86 ,70.9 ,14.9
40075 ,2027 ,55.2 ,34.4 ,20.6
40076 ,2599 ,70.4 ,32.6 ,37.8
40077 ,1125 ,36.4 ,20.2 ,16.1
40079 ,1148 ,38.1 ,21.4 ,16.4
40080 ,1198 ,51.9 ,19 ,32.7
40081 ,1358 ,48.2 ,25 ,23.2
40083 ,3105 ,103.1 ,45.6 ,57.4
40084 ,1975 ,65.5 ,25.4 ,40
40085 ,3952 ,144.2 ,73.3 ,71
40087 ,1586 ,54.8 ,32.7 ,22.2
40088 ,2069 ,55 ,35.7 ,18.6
40089 ,969 ,27.1 ,22.4 ,4.7
40090 ,1436 ,54.7 ,23.4 ,31.2
40092 ,1845 ,88.2 ,38.8 ,48.1
40093 ,1856 ,62.7 ,46.7 ,15.9
40094 ,1469 ,41 ,39.4 ,2.6
40095 ,2088 ,69.3 ,34.9 ,34.2
40096 ,1823 ,68.8 ,18.1 ,50.5
40097 ,1417 ,43.1 ,26.1 ,16.2
40099 ,1967 ,76.3 ,45 ,31.3
40100 ,2011 ,75.5 ,33.4 ,42.1
40101 ,858 ,32.1 ,24.6 ,7.1
40102 ,2163 ,46.2 ,29.3 ,16.9
40103 ,2152 ,69.7 ,43.2 ,26.6
40106 ,2505 ,76.3 ,34.2 ,41.6
40107 ,2214 ,58.3 ,31.8 ,26
40108 ,1411 ,52.6 ,19.2 ,33.4
40109 ,1485 ,59.8 ,21 ,37.9
40110 ,1291 ,49.9 ,33.3 ,16.4
40111 ,2826 ,80.9 ,34.4 ,46.2
40112 ,2386 ,102.3 ,37 ,65.1
40114 ,2545 ,72.4 ,54.9 ,17.7
40115 ,1845 ,64.2 ,26.6 ,36.4
40116 ,2059 ,74.6 ,50.2 ,23.9
40117 ,2569 ,98.1 ,30.6 ,67.2
40118 ,2088 ,56.3 ,46.2 ,10.2
40119 ,1386 ,63.8 ,24 ,39.7
40120 ,3129 ,120.6 ,50.8 ,68.8
40121 ,1972 ,96.8 ,31.8 ,64.4
40122 ,1757 ,44.7 ,23 ,20
40123 ,2477 ,86.5 ,26.4 ,60
40124 ,1916 ,73.8 ,45.8 ,27.9
40126 ,1678 ,67.4 ,20.4 ,46.7
40127 ,1811 ,46.4 ,37.8 ,8.5
40128 ,1358 ,33.7 ,21.2 ,12.4
40129 ,1556 ,38.7 ,22 ,16.5
40131 ,1340 ,46.9 ,19 ,27.6
40132 ,958 ,44 ,14.6 ,28.7
40133 ,2057 ,50.5 ,42.6 ,8.3
40134 ,2009 ,61.8 ,27.2 ,34
40136 ,1841 ,58.1 ,37.4 ,19.7
40138 ,3061 ,128.4 ,67.5 ,60.8
40139 ,1561 ,48.6 ,37.3 ,11.4
40140 ,1793 ,60.6 ,59.8 ,0.8
40141 ,1671 ,54.7 ,26.2 ,28.3
40142 ,2208 ,60.8 ,36.1 ,23.2
40143 ,1560 ,55.3 ,18.8 ,35.9
40144 ,1707 ,50 ,17.3 ,31
40145 ,1813 ,61.9 ,29.2 ,32.1
40146 ,2506 ,78.2 ,41.4 ,37.1
